"","face","mean.human","mean.mech","mean.emot","time","time.sd","low.emot"
"41","41",91.4545454545455,10.5,-11.6875,13.4465,18.1175249585269,1
"42","42",17.0606060606061,84.1818181818182,5.9375,12.2935,28.5384852748813,1
"43","43",29.6969696969697,76.5757575757576,32.6060606060606,12.1895,58.2927432627327,0
"44","44",32.875,80.6363636363636,1.921875,11.4015,10.2086928235451,1
"45","45",15.2121212121212,87.3333333333333,29.7692307692308,11.0125,20.0034379592254,0
"46","46",32.15625,80.8787878787879,21.2769230769231,13.592,10.6367259443473,0
"47","47",87.969696969697,17.8787878787879,30.969696969697,13.3435,13.5822561052337,0
"48","48",4.78787878787879,98.5757575757576,-2.38095238095238,9.871,8.15213691012354,1
"49","49",43.5151515151515,73.969696969697,17.6769230769231,14.8405,43.620945659525,0
"50","50",12.9393939393939,85.6969696969697,1.6,10.727,9.75160281757081,1
"51","51",17.7878787878788,87.2727272727273,9.40625,11.7835,68.5980534507906,1
"52","52",18.5757575757576,95.3333333333333,-27.1363636363636,11.585,8.55076576306075,1
"53","53",34.8181818181818,79.7272727272727,-10.2769230769231,12.2445,7.34179798512002,1
"54","54",22.1515151515152,85.030303030303,41.9393939393939,12.8625,25.5361869271039,0
"55","55",17.4242424242424,90.9090909090909,-48.8787878787879,10.9615,8.48943724187198,1
"56","56",35.2121212121212,80.030303030303,-4.55384615384615,12.3375,14.5465131659989,1
"57","57",23.2121212121212,82.2727272727273,-3.03225806451613,10.5105,12.7359497035105,1
"58","58",22.4242424242424,86.1212121212121,2.25396825396825,10.664,46.9769831016566,1
"59","59",12.0909090909091,92.969696969697,50.0606060606061,12.169,12.4686405672994,0
"60","60",3.51515151515152,96.6363636363636,-0.85,10.9825,17.9847100740218,1
"61","61",16.7272727272727,92.2727272727273,12.6212121212121,13.063,12.2572180018926,0
"62","62",3.81818181818182,95.9393939393939,2.52380952380952,9.9245,10.7535714601577,1
"63","63",28.6666666666667,88,23.9538461538462,12.7295,18.4361583594769,0
"64","64",66.9393939393939,38.6875,36.0153846153846,14.146,21.8977734270246,0
"65","65",94.3939393939394,9.84848484848485,20.5,12.0565,17.7219585670362,0
"66","66",95.5151515151515,2.84848484848485,41.3939393939394,13.0075,14.6325085249705,0
"67","67",78.6363636363636,20.5454545454545,-41.9393939393939,12.604,44.7256011331949,1
"68","68",81.4848484848485,26.2727272727273,-51.1212121212121,12.376,19.112140246597,1
"69","69",84.3636363636364,18.8484848484848,11.6666666666667,11.9295,10.5176927389098,0
"70","70",15.4545454545455,84.3333333333333,-13.0461538461538,11.53,10.9884251434028,1
"71","71",1.60606060606061,98.6969696969697,-6.58730158730159,9.7355,10.5832808683097,1
"72","72",29.3333333333333,84.6666666666667,-2.95238095238095,11.9945,23.3607366136266,1
"73","73",31.7878787878788,82.7575757575758,23,13.2205,10.6589038352449,0
"74","74",80.3636363636364,38.2727272727273,5.12121212121212,16.0455,59.3267980622353,1
"75","75",36.2424242424242,79.6060606060606,1.87692307692308,11.8965,11.2958993822675,1
"76","76",3.87878787878788,98.3333333333333,-3.14516129032258,10.2115,12.781372485553,1
"77","77",44.53125,83.2727272727273,-30.3030303030303,12.1065,127.949832369874,1
"78","78",15.3333333333333,87.6363636363636,-0.634920634920635,12.399,8.08915976903644,1
"79","79",81.2424242424242,28,5.27692307692308,13.1965,11.185488298036,1
"80","80",94.8484848484848,4.21212121212121,29.0909090909091,14.8325,34.7460126720907,0
"81","81",38.9393939393939,70.8181818181818,-4.63076923076923,11.1885,11.3608288217563,1
