"","survey_code","rating.variable","excluded","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","main.rating","emot","time.spent","face","female","seen.face.before"
"30229826.3",30229826,"human-like","","None",51,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,8.576,"3",0,0
"11142631.3",11142631,"mechanical","","no",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,32.305,"3",1,0
"67914440.3",67914440,"human-like","","No.",20,"b.HS.only",1,0,0,0,0,0,0,0,0,0,-1,9.088,"3",1,0
"46031764.3",46031764,"human-like","","no",50,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,7.738,"3",1,0
"99445757.3",99445757,"human-like","","No",36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,-2,5.787,"3",0,0
"87786538.3",87786538,"mechanical","","no. ",32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,100,-60,10.887,"3",0,0
"85547776.3",85547776,"human-like","","No. It was pretty straightforward.",42,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,13.11,"3",1,0
"19071077.3",19071077,"mechanical","","",22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,6.374,"3",0,0
"36796684.3",36796684,"mechanical","","no",55,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,7.842,"3",0,0
"92872603.3",92872603,"mechanical","","No I did not. ",27,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,4.222,"3",0,0
"25132135.3",25132135,"mechanical","","more confusion than anything.  some faces were extremely lifelike!",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,-51,11.983,"3",0,0
"29677744.3",29677744,"human-like","","No",37,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,10.182,"3",1,0
"21575119.3",21575119,"human-like","","",21,"c.2.Yr.Coll",1,0,0,0,0,1,0,0,0,0,0,17.063,"3",1,0
"17350089.3",17350089,"mechanical","","No, I didn't have any problems.",43,"b.HS.only",1,0,0,0,0,1,0,1,0,100,0,7.468,"3",1,0
"78584558.3",78584558,"human-like","","no",61,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,9.451,"3",1,0
"35118750.3",35118750,"human-like","","None",35,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,6.409,"3",0,0
"19405606.3",19405606,"human-like","","None.",39,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,7.56,"3",1,0
"47785580.3",47785580,"human-like","","No",32,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,-80,8.414,"3",0,0
"22119787.3",22119787,"mechanical","","No",36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,93,-6,24.472,"3",1,0
"70126906.3",70126906,"mechanical","","No",42,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,100,0,13.731,"3",1,0
"35542605.3",35542605,"human-like","","No",32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,-30,5.9,"3",0,0
"53729894.3",53729894,"human-like","","I did not experience any confusions or problems.",30,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,0,13.111,"3",1,0
"18367701.3",18367701,"human-like","","No confusion or technical problems experienced.",25,"b.HS.only",1,0,0,0,0,0,0,0,0,0,NA,7.381,"3",1,0
"77522393.3",77522393,"mechanical","","I don't think so. I was a little confused about ""have you seen this before the survey?"" because all the pictures were shown on the first page, but I assumed you wanted to know if I'd seen them before I was shown them.",33,"d.4.Yr.Coll",1,1,0,0,0,0,0,0,0,100,0,9.343,"3",1,0
"94417992.3",94417992,"human-like","","No, but some pictures were a little fuzzy",41,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,0,14.854,"3",1,0
"93643997.3",93643997,"mechanical","","",34,"Post.Grad.Degree",1,1,1,1,1,1,1,1,1,100,0,7.588,"3",0,0
"14661991.3",14661991,"mechanical","","nope",22,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,2,8.98,"3",0,0
"12102073.3",12102073,"human-like","","No.",23,"b.HS.only",0,1,0,0,0,0,0,1,0,0,0,12.079,"3",1,0
