year,Elsa
1908,8.644549391867429e-07
1909,8.946654729439071e-07
1910,1.0508188661439988e-06
1911,1.0163150823773646e-06
1912,1.026679637559726e-06
1913,9.212399196505723e-07
1914,9.90645215637187e-07
1915,1.200037619878255e-06
1916,1.254167110862982e-06
1917,1.1036094381213144e-06
1918,1.0891057035270331e-06
1919,1.0160065196781635e-06
1920,1.073520582777527e-06
1921,9.7993912831892e-07
1922,8.184833933151075e-07
1923,7.422554852658842e-07
1924,8.781493774685194e-07
1925,8.865727309118451e-07
1926,9.013683036788019e-07
1927,9.90671279613561e-07
1928,1.0531365148835903e-06
1929,1.014668724406777e-06
1930,1.078935845809172e-06
1931,1.1675122854524846e-06
1932,1.287080063099617e-06
1933,1.4670442610561653e-06
1934,1.4286680392367707e-06
1935,1.458868584793192e-06
1936,1.4535065212381172e-06
1937,1.5587596072310006e-06
1938,1.4328095139554925e-06
1939,1.4301876828223418e-06
1940,1.3968218117404213e-06
1941,1.3994226407528946e-06
1942,1.4745670198530142e-06
1943,1.5203262603133031e-06
1944,1.3812083654585194e-06
1945,1.3918630210290367e-06
1946,1.342878264206807e-06
1947,1.3029361866248988e-06
1948,1.25835710232788e-06
1949,1.0917765898962476e-06
1950,1.1374820816050551e-06
1951,1.2431492660677383e-06
1952,1.2724050311163637e-06
1953,1.2030757989833774e-06
1954,1.097949242126869e-06
1955,1.1412905203757515e-06
1956,1.1695829559446987e-06
1957,1.2065969960316025e-06
1958,1.2294031644139684e-06
1959,1.1280633724908284e-06
1960,1.1584176670607706e-06
1961,1.141414098602768e-06
1962,1.0734914797083661e-06
1963,1.115091777264305e-06
1964,9.561736264984688e-07
1965,8.365505262476957e-07
1966,8.574640182652209e-07
1967,9.532783296707846e-07
1968,9.926254504069983e-07
1969,1.004803598167062e-06
1970,9.732549289661766e-07
1971,1.0334035919054178e-06
1972,1.0275833939944943e-06
1973,9.99886239075717e-07
1974,9.349168220548368e-07
1975,9.341478399704783e-07
1976,9.76871581974998e-07
1977,9.804253213729908e-07
1978,9.440070728926132e-07
1979,9.81031571661057e-07
1980,1.0029818304145368e-06
1981,1.0652802782118442e-06
1982,1.085804337362463e-06
1983,1.086290836076793e-06
1984,1.1302880462693565e-06
1985,1.1759638185131799e-06
1986,1.1797423538390767e-06
1987,1.1811608009131597e-06
1988,1.1626007077682386e-06
1989,1.18080766904021e-06
1990,1.205329168791585e-06
1991,1.2227947259191296e-06
1992,1.232552030724524e-06
1993,1.2730385898456525e-06
1994,1.3004729813660885e-06
1995,1.249299339026574e-06
1996,1.2355739707560685e-06
1997,1.2211874366333371e-06
1998,1.2268434892754546e-06
1999,1.2112590087757065e-06
2000,1.228568760122276e-06
2001,1.250226178330292e-06
2002,1.2821628310177857e-06
2003,1.312971237155125e-06
2004,1.3539292798014912e-06
