year,vampire
1975,1.0352188146711683e-06
1976,1.059110767214528e-06
1977,1.0349928396229707e-06
1978,1.0684122251041522e-06
1979,9.739296906730033e-07
1980,9.230968814729781e-07
1981,9.208110020507222e-07
1982,9.518953431201081e-07
1983,9.413960576156097e-07
1984,9.689992426231697e-07
1985,1.0277935324408207e-06
1986,1.1451648236666349e-06
1987,1.2071352159129643e-06
1988,1.2660273073704178e-06
1989,1.3688835497508274e-06
1990,1.4844950792434832e-06
1991,1.9149207842263294e-06
1992,2.0494685971174576e-06
1993,2.2597319081337934e-06
1994,2.490549093942767e-06
1995,2.615029202956976e-06
1996,2.6941009839528566e-06
1997,2.732974623752073e-06
1998,2.4961587839251417e-06
1999,2.6067389927878333e-06
2000,2.555726480985803e-06
2001,2.529057545481399e-06
2002,2.5819649369651643e-06
2003,2.6428283895540966e-06
2004,2.7523329713119438e-06
