year,color
1960,7.072280361139098e-05
1961,6.937601361706975e-05
1962,6.789147655743883e-05
1963,6.483402696793357e-05
1964,6.394833492809733e-05
1965,6.305998454081418e-05
1966,6.296942953148183e-05
1967,6.251476516386641e-05
1968,6.262996492166296e-05
1969,6.297861611821125e-05
1970,6.384296981260767e-05
1971,6.50663473444573e-05
1972,6.570446457284822e-05
1973,6.607546801465755e-05
1974,6.63695742316252e-05
1975,6.680262402726709e-05
1976,6.744384248642226e-05
1977,6.764532587664818e-05
1978,6.742450822067829e-05
1979,6.74869264685185e-05
1980,6.797861732366073e-05
1981,6.798569925032487e-05
1982,6.802013608973669e-05
1983,6.770543643597193e-05
1984,6.75367983506346e-05
1985,6.774000343869246e-05
1986,6.787801932465039e-05
1987,6.865132760529896e-05
1988,7.014838633624875e-05
1989,7.21197608462327e-05
1990,7.437879855842766e-05
1991,7.676193971357341e-05
1992,7.914263228160833e-05
1993,8.111523115011162e-05
1994,8.369729792840579e-05
1995,8.518441178141854e-05
1996,8.614490791712471e-05
1997,8.650145201727356e-05
1998,8.731679387860172e-05
1999,8.898196071933335e-05
2000,9.012825139669596e-05
2001,8.962642621262212e-05
2002,8.998015639842076e-05
2003,9.037948378818328e-05
2004,9.153819809171182e-05
