year,physiology
1943,9.833972723884343e-06
1944,9.796370972838173e-06
1945,9.549461278116464e-06
1946,9.57116797703098e-06
1947,9.54083855780092e-06
1948,9.524622324111727e-06
1949,9.80983133607489e-06
1950,9.890509478590762e-06
1951,9.855243695661945e-06
1952,9.811423148724837e-06
1953,9.838614648824011e-06
1954,1.0035819520177419e-05
1955,1.0448308555867567e-05
1956,1.0583415065720406e-05
1957,1.0905235748331116e-05
1958,1.116113903013424e-05
1959,1.141076753339933e-05
1960,1.1600003781658027e-05
1961,1.1672223523971428e-05
1962,1.2039287465118573e-05
1963,1.202960727450123e-05
1964,1.1770440490213982e-05
1965,1.1737654265938805e-05
1966,1.173675610743885e-05
1967,1.1684576971252422e-05
1968,1.177932312300202e-05
1969,1.152296202836364e-05
1970,1.1776363842435395e-05
1971,1.220687246521785e-05
1972,1.2712667508399786e-05
1973,1.3107543115406119e-05
1974,1.314015179332273e-05
1975,1.3378948080701645e-05
1976,1.3436284327943732e-05
1977,1.3550339929224721e-05
1978,1.348703271933768e-05
1979,1.3294808565790716e-05
1980,1.316317992713526e-05
1981,1.3345282764833299e-05
1982,1.3443801740160259e-05
1983,1.358644446928078e-05
1984,1.3666733861685187e-05
1985,1.344016910463454e-05
1986,1.328933548247083e-05
1987,1.316969478385285e-05
1988,1.2881281758073522e-05
1989,1.2331215805667333e-05
1990,1.1930402235650816e-05
1991,1.13959819876592e-05
1992,1.1241995062099314e-05
1993,1.095503817793997e-05
1994,1.0729093085209181e-05
1995,1.0514024282315402e-05
1996,1.0372637563347909e-05
1997,1.0177122872180788e-05
1998,1.001506596968024e-05
1999,9.798530929369268e-06
2000,9.5817341027831e-06
2001,9.274651302705803e-06
2002,9.184395494798991e-06
2003,9.07083998811231e-06
2004,8.977364064577387e-06
