year,chemistry
1937,2.3884315737632278e-05
1938,2.4243869006568275e-05
1939,2.4896502371315622e-05
1940,2.509195863759877e-05
1941,2.4715397249305428e-05
1942,2.4702868066534783e-05
1943,2.436168693163511e-05
1944,2.413421226167754e-05
1945,2.3748730947253144e-05
1946,2.390695034039579e-05
1947,2.3923479456503367e-05
1948,2.3707108701793394e-05
1949,2.32094464048974e-05
1950,2.2966171619438163e-05
1951,2.2980772062705258e-05
1952,2.295207493878999e-05
1953,2.2541173897090107e-05
1954,2.284959452936164e-05
1955,2.3511902968818633e-05
1956,2.399280811005156e-05
1957,2.4168703881904158e-05
1958,2.402248238857802e-05
1959,2.4386245546078757e-05
1960,2.464492869031736e-05
1961,2.436672714013964e-05
1962,2.4272208934559914e-05
1963,2.404937350775072e-05
1964,2.4136509182426383e-05
1965,2.3825962711855808e-05
1966,2.3154822924555318e-05
1967,2.258737888740013e-05
1968,2.240718928549411e-05
1969,2.2266031290233252e-05
1970,2.1760626895326955e-05
1971,2.1708932150334347e-05
1972,2.2276368144145765e-05
1973,2.2771489093591818e-05
1974,2.2889061174932328e-05
1975,2.3159077305276048e-05
1976,2.2822147034925626e-05
1977,2.3580210868853362e-05
1978,2.3709297896143005e-05
1979,2.346764927096956e-05
1980,2.3381306001673302e-05
1981,2.3695639591941085e-05
1982,2.3763848600667965e-05
1983,2.408162455529756e-05
1984,2.402488021451583e-05
1985,2.3583672909158588e-05
1986,2.368710113387351e-05
1987,2.3918267450946068e-05
1988,2.3571665617997238e-05
1989,2.347950584586605e-05
1990,2.3132583111516525e-05
1991,2.249034136931576e-05
1992,2.249050512708501e-05
1993,2.191030628750923e-05
1994,2.126654021188707e-05
1995,2.0980968055742517e-05
1996,2.025293080773086e-05
1997,1.992940124344906e-05
1998,1.9716949416143897e-05
1999,1.9448089058674407e-05
2000,1.9423830614024545e-05
2001,1.9046611226615694e-05
2002,1.9034153964980763e-05
2003,1.90075146235813e-05
2004,1.8732334346793778e-05
