year,natural history
1927,6.74606974980309e-06
1928,6.981921504437391e-06
1929,7.082866608649445e-06
1930,7.125957994600997e-06
1931,7.059934999022387e-06
1932,6.96784151748326e-06
1933,6.819364582863078e-06
1934,6.8222162253407855e-06
1935,6.586921787946461e-06
1936,6.615509695352882e-06
1937,6.641721804661366e-06
1938,6.809939782621248e-06
1939,6.726955535084146e-06
1940,6.589973276658968e-06
1941,6.434144229469245e-06
1942,6.28372176184452e-06
1943,6.070872804083853e-06
1944,6.165248644305978e-06
1945,6.0033104521802935e-06
1946,6.179998436550704e-06
1947,6.334630711535284e-06
1948,6.377574485278663e-06
1949,6.533901042311233e-06
1950,6.716046829272468e-06
1951,6.615517775238848e-06
1952,6.54516252345567e-06
1953,6.507742121186765e-06
1954,6.431329516942697e-06
1955,6.465664775134882e-06
1956,6.520145513531718e-06
1957,6.361027328491023e-06
1958,6.277000033654596e-06
1959,6.363618500212657e-06
1960,6.138596192377982e-06
1961,6.08903979123657e-06
1962,6.169746314859432e-06
1963,6.005758994628454e-06
1964,6.098761191302466e-06
1965,6.108599766970916e-06
1966,6.047788289720302e-06
1967,6.101340326430155e-06
1968,6.143682848046085e-06
1969,5.999577327640639e-06
1970,6.10515346112704e-06
1971,6.1541711196306485e-06
1972,6.29444252808753e-06
1973,6.38243737682842e-06
1974,6.520341112751079e-06
1975,6.61967280381402e-06
1976,6.639450774059697e-06
1977,6.675346109018068e-06
1978,6.576979411119867e-06
1979,6.469067416097525e-06
1980,6.454417123182209e-06
1981,6.337145239042132e-06
1982,6.284020107573594e-06
1983,6.3558911490093e-06
1984,6.3155151762219115e-06
1985,6.328880521623757e-06
1986,6.399156967112113e-06
1987,6.377855463313154e-06
1988,6.451200295235334e-06
1989,6.484770286720374e-06
1990,6.44845530116202e-06
1991,6.5539008957671285e-06
1992,6.644879644365379e-06
1993,6.787124429966493e-06
1994,6.870876990408956e-06
1995,6.977005035935235e-06
1996,7.0673492018613615e-06
1997,7.152620426609247e-06
1998,7.079291737202961e-06
1999,7.008626469533802e-06
2000,6.814594856661773e-06
2001,6.776567638715798e-06
2002,6.7040296407583355e-06
2003,6.622775909193024e-06
2004,6.507610182282519e-06
