year,porn
1892,2.281738279271853e-08
1893,1.947918057013506e-08
1894,1.9144109662607078e-08
1895,1.840762932557384e-08
1896,1.7825684198565942e-08
1897,1.5835095679150868e-08
1898,1.5738301630184385e-08
1899,1.781062197725447e-08
1900,1.8728035582655467e-08
1901,1.9201224277232143e-08
1902,1.909353048683877e-08
1903,2.0865904607322453e-08
1904,2.078783492961581e-08
1905,1.9752457225408193e-08
1906,1.894521647497324e-08
1907,1.7917246670456118e-08
1908,1.8109162360145448e-08
1909,1.8049267469510966e-08
1910,1.659158549438544e-08
1911,1.5934371814082685e-08
1912,1.4829361936831627e-08
1913,1.3525165400350505e-08
1914,1.3060822907322894e-08
1915,1.3208533576415858e-08
1916,1.3053455681445923e-08
1917,1.1964075603237184e-08
1918,1.2393048555635133e-08
1919,1.269632108970496e-08
1920,1.521331013546298e-08
1921,1.615691714545215e-08
1922,1.5351258304224e-08
1923,1.5423720959148058e-08
1924,1.7405017038729653e-08
1925,1.7762632055694028e-08
1926,1.93874021360761e-08
1927,1.7578736942271333e-08
1928,1.7237754160578537e-08
1929,1.7055163012028426e-08
1930,1.5435037835155796e-08
1931,1.4758050924181175e-08
1932,1.668921161585806e-08
1933,1.632257504554805e-08
1934,1.5535729536164666e-08
1935,1.5756012185428958e-08
1936,1.5528110424473903e-08
1937,1.6253253734951504e-08
1938,1.5382398077523615e-08
1939,1.5491754728242616e-08
1940,1.7008475627910968e-08
1941,1.784793898388212e-08
1942,1.770157241422408e-08
1943,1.798710959542506e-08
1944,1.9365810106324636e-08
1945,2.3541925345657184e-08
1946,2.3160256585568513e-08
1947,2.4053196815262568e-08
1948,2.4887303345139903e-08
1949,2.4908560943995694e-08
1950,2.5161505529907354e-08
1951,2.6778921009234276e-08
1952,2.3480619195024947e-08
1953,2.2845023341298643e-08
1954,1.9653800610784444e-08
1955,2.120082277195274e-08
1956,2.2358297967008308e-08
1957,2.355080002839191e-08
1958,2.1519296535186883e-08
1959,2.059087543328429e-08
1960,2.1109094702368277e-08
1961,2.1546006423456276e-08
1962,2.0424647512966894e-08
1963,2.0166856391184192e-08
1964,2.096598495212757e-08
1965,2.1424067642954777e-08
1966,2.203479100769203e-08
1967,2.34937059965087e-08
1968,2.5965607164391002e-08
1969,3.569342400216209e-08
1970,4.663563831140495e-08
1971,5.7361113279887273e-08
1972,7.34388631216744e-08
1973,8.962510397328822e-08
1974,1.1013938624618699e-07
1975,1.3311066420535716e-07
1976,1.4546639153551715e-07
1977,1.6288599437506788e-07
1978,1.8313430717929536e-07
1979,2.1172597627508847e-07
1980,2.4495981998384764e-07
1981,2.668838335091144e-07
1982,3.1859605829710957e-07
1983,3.645646917682655e-07
1984,4.089102537209653e-07
1985,4.314584328543195e-07
1986,4.6604411498206234e-07
1987,4.951977907730054e-07
1988,5.498915402389417e-07
1989,5.598411454421638e-07
1990,6.081165052787947e-07
1991,6.543524737929423e-07
1992,7.380999815152579e-07
1993,8.050285999721447e-07
1994,8.652686468276929e-07
1995,9.286731032430242e-07
1996,1.0112994648687438e-06
1997,1.0358813868904804e-06
1998,1.0767777695517921e-06
1999,1.1321158023745527e-06
2000,1.1660526790484887e-06
2001,1.2333019182416853e-06
2002,1.2461351460342958e-06
2003,1.254053555932444e-06
2004,1.3144614698923363e-06
