year,scientific community
1953,5.318817437276786e-08
1954,6.117276894558796e-08
1955,6.536145745274422e-08
1956,7.506960345412697e-08
1957,9.590236116748965e-08
1958,1.1477764810411248e-07
1959,1.542375228845229e-07
1960,1.7405149077950479e-07
1961,2.0998024392672653e-07
1962,2.652919777547589e-07
1963,3.29993453836362e-07
1964,3.602015183583924e-07
1965,4.4038636916519736e-07
1966,4.740534866241676e-07
1967,5.331809489789967e-07
1968,6.108546637089469e-07
1969,6.725456112022243e-07
1970,7.242844583136128e-07
1971,8.166111408667933e-07
1972,8.616982039656917e-07
1973,9.406821578191885e-07
1974,1.0302046347427613e-06
1975,1.059341631304278e-06
1976,1.119376432054001e-06
1977,1.171944065601695e-06
1978,1.1883551493951927e-06
1979,1.2149638034689554e-06
1980,1.2387218463670382e-06
1981,1.2467290306160197e-06
1982,1.2760463964208872e-06
1983,1.2794945547511816e-06
1984,1.2810472662343791e-06
1985,1.3168280627188065e-06
1986,1.3424548162634307e-06
1987,1.3557853361894395e-06
1988,1.3537496688087458e-06
1989,1.368855861676772e-06
1990,1.3955498575159351e-06
1991,1.4257300328271834e-06
1992,1.434812914321729e-06
1993,1.442716510575386e-06
1994,1.468892191119104e-06
1995,1.4858612362088155e-06
1996,1.4921255327189037e-06
1997,1.4854505130707755e-06
1998,1.4903027931723045e-06
1999,1.483622599757999e-06
2000,1.4508745742602969e-06
2001,1.4060823865236216e-06
2002,1.3943845201443612e-06
2003,1.3816531037491586e-06
2004,1.3559158933418303e-06
