year,morphology
1883,9.680474342133039e-07
1884,1.0028505543451566e-06
1885,1.0909131198388877e-06
1886,1.1450903559965094e-06
1887,1.258588980082972e-06
1888,1.3795501878632876e-06
1889,1.5950601931332846e-06
1890,1.6938488194284671e-06
1891,1.8769347650707654e-06
1892,2.0192380993933057e-06
1893,2.204941479431812e-06
1894,2.210085893088782e-06
1895,2.2957768724804088e-06
1896,2.261235694943155e-06
1897,2.3188303696234214e-06
1898,2.356918296340739e-06
1899,2.287133222621053e-06
1900,2.2892906790567783e-06
1901,2.2812894075384193e-06
1902,2.303194570174583e-06
1903,2.295591274657584e-06
1904,2.3181555671872696e-06
1905,2.297743296456442e-06
1906,2.4268014706357074e-06
1907,2.424012716265419e-06
1908,2.496207761128387e-06
1909,2.590758583664865e-06
1910,2.7211209651259845e-06
1911,2.817573761352118e-06
1912,2.799349840440105e-06
1913,2.912046850513304e-06
1914,2.939437702512545e-06
1915,2.9825595707474605e-06
1916,2.931565239196386e-06
1917,2.8562944497220348e-06
1918,2.7778758645727715e-06
1919,2.691385159688967e-06
1920,2.4750227711121753e-06
1921,2.368990132189148e-06
1922,2.259566840174492e-06
1923,2.2285975051415463e-06
1924,2.223254437946512e-06
1925,2.3013141005532944e-06
1926,2.4214945132225045e-06
1927,2.4530907387949293e-06
1928,2.5368075772088816e-06
1929,2.606634336440753e-06
1930,2.7479048948667436e-06
1931,2.7923287748064596e-06
1932,2.755648370314897e-06
1933,2.723434110610664e-06
1934,2.8760482747104883e-06
1935,2.8754442392856357e-06
1936,3.021417094422369e-06
1937,3.1353181516432675e-06
1938,3.128299965737824e-06
1939,3.3721822906126623e-06
1940,3.551502165878771e-06
1941,3.512058051618234e-06
1942,3.7102246791066918e-06
1943,3.641011488753065e-06
1944,3.380833722945096e-06
1945,3.587663464088564e-06
1946,3.4420252715351907e-06
1947,3.3568407472119233e-06
1948,3.461586675460434e-06
1949,3.5382421513320746e-06
1950,3.6814767930033147e-06
1951,3.83785956005665e-06
1952,3.668612714185266e-06
1953,3.838979489095047e-06
1954,4.07526708759828e-06
1955,4.1312327385055265e-06
1956,4.159929769035184e-06
1957,4.285046232764346e-06
1958,4.48907463075037e-06
1959,4.76137737897326e-06
1960,4.936350200474798e-06
1961,5.119432762918613e-06
1962,5.319165420506319e-06
1963,5.370836051708596e-06
1964,5.4661252875121136e-06
1965,5.620355594260218e-06
1966,5.764877826663906e-06
1967,5.749717674672995e-06
1968,5.799242487114497e-06
1969,5.961535009646467e-06
1970,6.32206609907371e-06
1971,6.6594878701055545e-06
1972,6.973194229788403e-06
1973,7.375021510824808e-06
1974,7.755641738477997e-06
1975,8.070175718038236e-06
1976,8.462388953895633e-06
1977,8.606603740547922e-06
1978,8.780352717151021e-06
1979,9.076317188113796e-06
1980,9.254041346805154e-06
1981,9.553654710511442e-06
1982,9.848059940103278e-06
1983,9.929972297381287e-06
1984,1.004849792098282e-05
1985,1.0154969739265391e-05
1986,1.0102938812143033e-05
1987,1.0104559714412581e-05
1988,1.0066919295630735e-05
1989,1.0040176034310986e-05
1990,1.0026394327106961e-05
1991,1.0100603197266925e-05
1992,1.0044424150074908e-05
1993,9.971427934780358e-06
1994,9.913252232049022e-06
1995,9.717195619072885e-06
1996,9.399087554738473e-06
1997,9.289605382077428e-06
1998,9.037151401563345e-06
1999,8.81994959200938e-06
2000,8.634406129764166e-06
2001,8.40878278093474e-06
2002,8.33502272238699e-06
2003,8.348997209850494e-06
2004,8.12561474461404e-06
