year,colour
1975,3.230394018568664e-05
1976,3.1245257462485044e-05
1977,3.071424527791221e-05
1978,3.0248733017807744e-05
1979,2.9371218780787395e-05
1980,2.872149457289197e-05
1981,2.8575595901462032e-05
1982,2.78364529029724e-05
1983,2.7430930166311945e-05
1984,2.6785887030200684e-05
1985,2.6493372745660183e-05
1986,2.649394679922677e-05
1987,2.6169095982757945e-05
1988,2.5891556496000184e-05
1989,2.558893515924865e-05
1990,2.5258557116103475e-05
1991,2.4441837240374298e-05
1992,2.4340771298219416e-05
1993,2.4066981658117064e-05
1994,2.3805579498262625e-05
1995,2.3645594507927725e-05
1996,2.390546520863219e-05
1997,2.4252795778271062e-05
1998,2.4669892744506274e-05
1999,2.4588133166097187e-05
2000,2.4559452153230916e-05
2001,2.506312824022773e-05
2002,2.5254277981427247e-05
2003,2.528888703636767e-05
2004,2.5081166143081646e-05
