year,linux
1904,8.350033680366257e-10
1905,9.358106670528545e-10
1906,8.316313272947542e-10
1907,9.37074632175897e-10
1908,8.395369003163669e-10
1909,1.0391436917294478e-09
1910,1.1474864471315372e-09
1911,1.2683201552502308e-09
1912,1.2854439021151418e-09
1913,1.0627975563107637e-09
1914,1.3195888984692976e-09
1915,1.2138443821514094e-09
1916,1.0142375907383284e-09
1917,8.036415104812583e-10
1918,4.801656929208166e-10
1919,3.6223464703967675e-10
1920,6.10382768138708e-10
1921,3.8178346198744096e-10
1922,3.8178346198744096e-10
1923,3.8178346198744096e-10
1924,4.992623616116378e-10
1925,4.992623616116378e-10
1926,4.992623616116378e-10
1927,3.6586913657440535e-10
1928,5.942621712178615e-10
1929,5.942621712178615e-10
1930,5.942621712178615e-10
1931,4.767832715936646e-10
1932,4.767832715936646e-10
1933,5.958464198231792e-10
1934,4.810915237613805e-10
1935,3.454947835760233e-10
1936,3.454947835760233e-10
1937,3.454947835760233e-10
1938,3.454947835760233e-10
1939,3.454947835760233e-10
1940,2.2643163534650868e-10
1941,2.2643163534650868e-10
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,8.808659357484316e-11
1950,1.7790759341908466e-10
1951,1.7790759341908466e-10
1952,1.7790759341908466e-10
1953,3.351101142610803e-10
1954,3.351101142610803e-10
1955,4.0740264336694814e-10
1956,4.577276494340968e-10
1957,4.899034669999683e-10
1958,4.899034669999683e-10
1959,1.3514977549787334e-09
1960,1.2909819641875637e-09
1961,1.2909819641875637e-09
1962,1.2186894350816958e-09
1963,1.080277835439704e-09
1964,9.58281018029591e-10
1965,9.94276498435452e-10
1966,1.6891992566619203e-10
1967,1.4215164759586888e-10
1968,1.4215164759586888e-10
1969,1.4215164759586888e-10
1970,1.550059223833143e-09
1971,1.5853719369042706e-09
1972,1.8278246416425503e-09
1973,1.8926096642272026e-09
1974,1.8889118959451524e-09
1975,1.9543550389133912e-09
1976,7.979910993898592e-09
1977,6.788847436592757e-09
1978,6.81527866284805e-09
1979,6.625386878011952e-09
1980,6.95446948045004e-09
1981,7.049692924659162e-09
1982,7.0364324723991095e-09
1983,1.3314080849718174e-09
1984,1.9568029795730926e-09
1985,2.6333523397584607e-09
1986,2.719295560552456e-09
1987,2.753601269619591e-09
1988,3.6072802106490442e-09
1989,1.135912679591947e-08
1990,1.3212304663033436e-08
1991,9.768550122770036e-08
1992,2.4271700872967123e-07
1993,4.139537683903579e-07
1994,6.563066679803648e-07
1995,1.0117392954652908e-06
1996,1.6629083469903755e-06
1997,2.7168013423712575e-06
1998,3.796937063427208e-06
1999,4.878228723066107e-06
2000,6.203198946000807e-06
2001,6.981707000721014e-06
2002,7.72946912519501e-06
2003,8.352800637112524e-06
2004,8.592884062963435e-06
