"","face","mean.human","mean.mech","mean.emot","time","time.sd","low.emot","like.mean","like.sd","trust.mean","trust.sd","composite","nadir.dist","like.adj.mean","trust.adj.mean","emot.valence"
"30",31,16.8787878787879,86.6363636363636,27.1212121212121,11.814,11.2846781676138,0,19.3582089552239,40.1103408009431,41.8266666666667,28.6400651768346,-69.7575757575757,106.241675757576,20.3078166932168,43.4886484473111,"pos"
"50",51,17.7878787878788,87.2727272727273,9.40625,11.7835,68.5980534507906,1,29.9814814814815,36.4828679052784,37.984375,26.277210953147,-69.4848484848485,105.968948484848,29.2455503818278,40.8991951228047,NA
"69",70,15.4545454545455,84.3333333333333,-13.0461538461538,11.53,10.9884251434028,1,15.9206349206349,48.6794324944064,32.6545454545455,21.6052275754239,-68.8787878787878,105.362887878788,15.8458892510905,35.4322238192051,"neg"
"4",5,20.9393939393939,88.5757575757576,7.53846153846154,11.886,7.60176751548221,1,12.6190476190476,41.1066388843537,42.8985507246377,30.3509593450163,-67.6363636363637,104.120463636364,12.9305338689095,37.2279738647337,NA
"41",42,17.0606060606061,84.1818181818182,5.9375,12.2935,28.5384852748813,1,38.2,41.5072282861672,48.1724137931034,28.6602224076742,-67.1212121212121,103.605312121212,38.880030374244,45.7798299601275,NA
"9",10,21.375,87.1212121212121,-6.28571428571429,10.8525,31.5087502519146,1,-10.56,43.4717180505932,35.3382352941176,29.0221790093589,-65.7462121212121,102.230312121212,-9.92627853018818,35.6701222897907,NA
"57",58,22.4242424242424,86.1212121212121,2.25396825396825,10.664,46.9769831016566,1,37.953125,46.7096501662215,39.95,29.1468665641519,-63.6969696969697,100.18106969697,39.3990997621278,42.3671551148551,NA
"28",29,21.0909090909091,84.4242424242424,47.5909090909091,12.863,11.8151277455665,0,45.2131147540984,41.3928797234896,50.8867924528302,31.2789314551397,-63.3333333333333,99.8174333333333,46.5070626797367,45.2898509904575,"pos"
"53",54,22.1515151515152,85.030303030303,41.9393939393939,12.8625,25.5361869271039,0,30.7586206896552,45.9115512525443,48.6896551724138,28.3073401283513,-62.8787878787878,99.3628878787878,32.1179029988461,45.9771623264531,"pos"
"8",9,21.8787878787879,82.6969696969697,6.78125,11.683,13.996180867258,1,52.4929577464789,36.0455557947902,42.3492063492063,29.2034900312466,-60.8181818181818,97.3022818181818,53.9237096253735,43.652891680783,NA
"62",63,28.6666666666667,88,23.9538461538462,12.7295,18.4361583594769,0,-8.94915254237288,50.0941953168413,37.9523809523809,28.7348437309068,-59.3333333333333,95.8174333333333,-11.2437943734584,40.7108854365031,"pos"
"56",57,23.2121212121212,82.2727272727273,-3.03225806451613,10.5105,12.7359497035105,1,3.92592592592593,41.8523529140769,39.5535714285714,33.1058465821685,-59.0606060606061,95.5447060606061,4.01727809000375,43.001167449225,NA
"71",72,29.3333333333333,84.6666666666667,-2.95238095238095,11.9945,23.3607366136266,1,-18.1948051948052,46.4758111848572,35.8,27.2804875323004,-55.3333333333334,91.8174333333334,-17.4091112178088,37.1754145182254,NA
"14",15,27,80.6666666666667,12.9384615384615,12.3875,10.6267461114296,0,2.98076923076923,45.4500330613635,36.0526315789474,30.1089812494495,-53.6666666666667,90.1507666666667,5.28917402608644,39.1626126994121,"pos"
"33",34,29.1515151515152,82.2424242424242,29.7121212121212,10.6875,11.9802033849203,0,20.7931034482759,41.0907248768063,45.375,31.842618939911,-53.090909090909,89.575009090909,19.864882967903,45.6912866057667,"pos"
